Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis
 'Efficacy of Carraguard-based microbicides in vivo despite variable in vitro activity.txt', 'Eradication of drug-resistant Acinetobacter baumannii by cell-penetrating peptide fused endolysin.txt', 'The MEK5 ERK5 Pathway in Health and Disease.txt'
 'Sustain-release lipid-liquid crystal formulations of pexiganan against Helicobacter pylori infection  in vitro evaluation in C57BL 6 mice.txt', 'Pandrug-resistant Acinetobacter baumannii causing nosocomial infections in a university hospital, 'Type I collagen promotes tumor progression of integrin β1 positive gastric cancer through a BCL9L β-catenin signaling pathway.txt'
 'Targeting ZFP64 GAL-1 axis promotes therapeutic effect of nab-paclitaxel and reverses immunosuppressive microenvironment in gastric cancer.txt', Taiwan.txt', 'Intrinsic adaptations in OXPHOS power output and reduced tumorigenicity characterize doxorubicin resistant ovarian cancer cells.txt'
 'CRISPR screens in mechanism and target discovery for AML.txt', 'Drug Resistance in Tuberculous Lymphadenitis  Molecular Characterization.txt', 'The ZEB1 pathway links glioblastoma initiation
, 'Integrative genomic analysis of drug resistance in MET exon 14 skipping lung cancer using patient-derived xenograft models.txt', invasion and chemoresistance.txt'
, 'Rapid molecular detection of macrolide resistance in the Mycobacterium avium complex  are we there yet.txt', 'Myc enhances B-cell receptor signaling in precancerous B cells and confers resistance to Btk inhibition.txt'
, 'CHOP overexpression sensitizes human non-small cell lung cancer cells to cisplatin treatment by Bcl-2 JNK pathway.txt', 'G protein-coupled receptor 21 deletion improves insulin sensitivity in diet-induced obese mice.txt'
,, 'Lectin from Sambucus sieboldiana abrogates the anoikis resistance of colon cancer cells conferred by N-acetylglucosaminyltransferase V during hematogenous metastasis.txt'
,, 'Inhibition of HIF-1alpha activity by homeodomain-interacting protein kinase-2 correlates with sensitization of chemoresistant cells to undergo apoptosis.txt'
'The use of platensimycin and platencin to fight antibiotic resistance.txt','Treatment with a broad-spectrum cephalosporin versus piperacillin-tazobactam and the risk for isolation of broad-spectrum cephalosporin-resistant Enterobacter species.txt','Translocation of platinum anticancer drugs by human copper ATPases ATP7A and ATP7B.txt'
 'New flavone-based arylamides as potential V600E-BRAF inhibitors  Molecular docking, 'Effects of intracoronary and intravenous amrinone infusions in patients with cardiac failure and patients with near normal cardiac function.txt', 'Abcg2a is the functional homolog of human ABCG2 expressed at the zebrafish blood-brain barrier.txt'
 DFT, 'Budesonide formoterol and formoterol provide similar rapid relief in patients with acute asthma showing refractoriness to salbutamol.txt', 'Modulation of trabectedin (ET-743) hepatobiliary disposition by multidrug resistance-associated proteins (Mrps) may prevent hepatotoxicity.txt'
 and pharmacokinetic properties.txt', 'Haemodynamic effects of salbutamol in patients with acute myocardial infarction and severe left ventricular dysfunction.txt', 'Assembly and Analysis of Haemonchus contortus Transcriptome as a Tool for the Knowledge of Ivermectin Resistance Mechanisms.txt'
 'Precious Gene  The Application of RET-Altered Inhibitors.txt', 'Impact of rapid drug susceptibility testing for tuberculosis  program experience in Lima, 'GABRP promotes CD44s-mediated gemcitabine resistance in pancreatic cancer.txt'
 'Anticancer effect of tectochrysin in colon cancer cell via suppression of NF-kappaB activity and enhancement of death receptor expression.txt', Peru.txt', 'MicroRNA-221 222 confers tamoxifen resistance in breast cancer by targeting p27Kip1.txt'
 'Quercetin reverses 5-fluorouracil resistance in colon cancer cells by modulating the NRF2 HO-1 pathway.txt', 'A randomized clinical trial evaluating therapeutic drug monitoring (TDM) for protease inhibitor-based regimens in antiretroviral-experienced HIV-infected individuals  week 48 results of the A5146 study.txt', 'Anticancer effects of the nitric oxide-modified saquinavir derivative saquinavir-NO against multidrug-resistant cancer cells.txt'
 'Challenging the Drug-Likeness Dogma for New Drug Discovery in Tuberculosis.txt',, 'Expression of multidrug resistance-related transporters in human breast carcinoma.txt'
 'Fluconazole Analogs and Derivatives  An Overview of Synthesis,,
 Chemical Transformations,,
 and Biological Activity.txt',,
'Optimizing the programmatic deployment of the anti-malarials artemether-lumefantrine and dihydroartemisinin-piperaquine using pharmacological modelling.txt','Use of oral trazodone for sedation in cats  a pilot study.txt','Leptin receptor signaling and the regulation of mammalian physiology.txt'
 'Lovastatin Inhibits Cancer Stem Cells and Sensitizes to Chemo- and Photodynamic Therapy in Nasopharyngeal Carcinoma.txt', 'Long-term macrolide treatment for non-cystic fibrosis bronchiectasis in children  a meta-analysis.txt', 'Role of heme oxygenase in inflammation
 'Hemin Improves Insulin Sensitivity and Lipid Metabolism in Cultured Hepatocytes and Mice Fed a High-Fat Diet.txt', 'Benefits of Macitentan in Patients with Pulmonary Hypertension  A Systematic Review and Meta-Analysis of Randomized Controlled Trials.txt', insulin-signalling
 'ATR-Chk1 signaling inhibition as a therapeutic strategy to enhance cisplatin chemosensitivity in urothelial bladder cancer.txt', 'Sandwich Strategy to Intensify EGFR Blockade by Concurrent Tyrosine Kinase Inhibitor and Monoclonal Antibody Treatment in Highly Selected Patients.txt', diabetes and obesity.txt'
 'Targeting IGF1R signaling enhances the sensitivity of cisplatin by inhibiting proline and arginine metabolism in oesophageal squamous cell carcinoma under hypoxia.txt', 'Case Report  Dacomitinib May Not Benefit Patients Who Develop Rare Compound Mutations After Later-Line Osimertinib Treatment.txt', 'Neddylation-dependent protein degradation is a nexus between synaptic insulin resistance
 'Proteasome inhibitors,, neuroinflammation and Alzheimer's disease.txt'
 including curcumin,, 'Key sunitinib-related biomarkers for renal cell carcinoma.txt'
 improve pancreatic β-cell function and insulin sensitivity in diabetic mice.txt',, 'Crystal structure of the pyrazinamidase of Mycobacterium tuberculosis  insights into natural and acquired resistance to pyrazinamide.txt'
,, 'Characterization of a novel p110beta-specific inhibitor BL140 that overcomes MDV3100-resistance in castration-resistant prostate cancer cells.txt'
'The combination of ADI-PEG20 and TRAIL effectively increases cell death in melanoma cell lines.txt','Downregulation of HOXC6 by miR-27a ameliorates gefitinib resistance in non-small cell lung cancer.txt','New structure-activity relationships of chalcone inhibitors of breast cancer resistance protein  polyspecificity toward inhibition and critical substitutions against cytotoxicity.txt'
 'Identification of an Immune Gene-Based Cisplatin Response Model and CD27 as a Therapeutic Target against Cisplatin Resistance for Ovarian Cancer.txt', 'Clinical factors associated with acquisition of resistance to levofloxacin in Stenotrophomonas maltophilia.txt', 'Inhibition of Rb Phosphorylation Leads to mTORC2-Mediated Activation of Akt.txt'
 'Blockade of bulky lymphoma-associated CD55 expression by RNA interference overcomes resistance to complement-dependent cytotoxicity with rituximab.txt', 'Intracellular and plasma steady-state pharmacokinetics of raltegravir, 'Loss of CtIP disturbs homologous recombination repair and sensitizes breast cancer cells to PARP inhibitors.txt'
 'Novel monofunctional platinum (II) complex Mono-Pt induces apoptosis-independent autophagic cell death in human ovarian carcinoma cells, darunavir, 'TMEM120B strengthens breast cancer cell stemness and accelerates chemotherapy resistance via beta1-integrin FAK-TAZ-mTOR signaling axis by binding to MYH9.txt'
 distinct from cisplatin.txt', etravirine and ritonavir in heavily pre-treated HIV-infected patients.txt', 'Regulating the effects of GPR21
 'Drepmel-A Multi-Omics Melanoma Drug Repurposing Resource for Prioritizing Drug Combinations and Understanding Tumor Microenvironment.txt', 'Pembrolizumab in brain metastases of diverse histologies  phase 2 trial results.txt', a novel target for type 2 diabetes.txt'
 'Bombesin-drug conjugates in targeted therapy for small cell lung cancer.txt', 'Procalcitonin guided antibiotic therapy and hospitalization in patients with lower respiratory tract infections  a prospective, 'A Suite of Activity-Based Probes To Dissect the KLK Activome in Drug-Resistant Prostate Cancer.txt'
, multicenter,
, randomized controlled trial.txt',
, 'A systematic review and meta-analysis of the efficacy and safety of intermittent preventive treatment of malaria in children (IPTc).txt',
"""Preclinical colorectal cancer chemopreventive efficacy and p53-modulating activity of 3'","""Matrix metalloproteinase inhibition attenuates right ventricular dysfunction and improves responses to dobutamine during acute pulmonary thromboembolism.txt""","""Role of H- and D- MATE-type transporters from multidrug resistant clinical isolates of Vibrio fluvialis in conferring fluoroquinolone resistance.txt"""
4'," ""Evaluation and Application of Drug Resistance by Biomarkers in the Clinical Treatment of Liver Cancer.txt"""," ""ERRalpha mediates metabolic adaptations driving lapatinib resistance in breast cancer.txt"""
5'-trimethoxyflavonol," ""In Vitro Antibacterial Properties of Cefiderocol"," ""Epigenetic regulation of ferroptosis via ETS1 miR-23a-3p ACSL4 axis mediates sorafenib resistance in human hepatocellular carcinoma.txt"""
" a quercetin analogue.txt""", a Novel Siderophore Cephalosporin," ""Integrated genomic approaches identify upregulation of SCRN1 as a novel mechanism associated with acquired resistance to erlotinib in PC9 cells harboring oncogenic EGFR mutation.txt"""
" ""High-Throughput Screening of the Repurposing Hub Library to Identify Drugs with Novel Inhibitory Activity against Candida albicans and Candida auris Biofilms.txt"""," against Gram-Negative Bacteria.txt"""," ""Inhibition of antibiotic efflux in bacteria by the novel multidrug resistance inhibitors biricodar (VX-710) and timcodar (VX-853).txt"""
" ""In vivo activity of novel anti-ErbB2 antibody chA21 alone and with Paclitaxel or Trastuzumab in breast and ovarian cancer xenograft models.txt"""," ""Cost-Effectiveness Analysis of Multiplex PCR with Magnetic Resonance Detection versus Empiric or Blood Culture-Directed Therapy for Management of Suspected Candidemia.txt""",
" ""Synergistic effect of JQ1 and rapamycin for treatment of human osteosarcoma.txt"""," ""Pyrazinamide may improve fluoroquinolone-based treatment of multidrug-resistant tuberculosis.txt""",
" ""NRX-101 (D-Cycloserine + Lurasidone) Is Active against Drug-Resistant Urinary Pathogens In Vitro.txt""",,
'Current and future antimicrobial treatment of gonorrhoea - the rapidly evolving Neisseria gonorrhoeae continues to challenge.txt','Effect of levamisole on cytotoxic T-cell-mediated immune resistance to L1210 murine leukemia in hyperimmune mice.txt','Unlocking the mechanism of action  a cost-effective flow cytometry approach for accelerating antimicrobial drug development.txt'
 'The Pan-Tumor Landscape of Targetable Kinase Fusions in Circulating Tumor DNA.txt', 'Anti-Cancer Activity Profiling of Chemotherapeutic Agents in 3D Co-Cultures of Pancreatic Tumor Spheroids with Cancer-Associated Fibroblasts and Macrophages.txt', 'Neoamphimedine circumvents metnase-enhanced DNA topoisomerase IIα activity through ATP-competitive inhibition.txt'
 'Stalling the engine of resistance  targeting cancer metabolism to overcome therapeutic resistance.txt', 'CircDOCK1 promotes the tumorigenesis and cisplatin resistance of osteogenic sarcoma via the miR-339-3p IGF1R axis.txt', 'QSAR
 'MicroRNA-375 is a therapeutic target for castration-resistant prostate cancer through the PTPN4 STAT3 axis.txt', 'Improved potency of F10 relative to 5-fluorouracil in colorectal cancer cells with p53 mutations.txt', Docking
 'Drug repositioning in thyroid cancer  from point mutations to gene fusions.txt', 'An orally administered drug prevents selection for antibiotic-resistant bacteria in the gut during daptomycin therapy.txt', and Molecular Dynamics Simulation Studies of Sigmacidins as Antimicrobials against Streptococci.txt'
 'Hepatocellular carcinoma-targeted drug discovery through image-based phenotypic screening in co-cultures of HCC cells with hepatocytes.txt', 'LACTB induced apoptosis of oxaliplatin-resistant gastric cancer through regulating autophagy-mediated mitochondrial apoptosis pathway.txt', 'Identification of structural mechanisms of HIV-1 protease specificity using computational peptide docking  implications for drug resistance.txt'
