Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis,Drug Disease Matching_Closest,Drug Effectiveness Assessment_Closest,Drug Target Analysis_Closest
'Novel treatment for refractory rheumatoid arthritis with total glucosides of paeony and nobiletin codelivered in a self-nanoemulsifying drug delivery system.txt','Association of ATP7A expression and in vitro sensitivity to cisplatin in non-small cell lung cancer.txt','Rac1 inhibits apoptosis in human lymphoma cells by stimulating Bad phosphorylation on Ser-75.txt',Novel treatment for refractory rheumatoid arthritis with total glucosides of paeony and nobiletin codelivered in a self-nanoemulsifying drug delivery system.txt,Association of ATP7A expression and in vitro sensitivity to cisplatin in non-small cell lung cancer.txt,Rac1 inhibits apoptosis in human lymphoma cells by stimulating Bad phosphorylation on Ser-75.txt
 'Small Molecule Inhibitor of CBFβ-RUNX Binding for RUNX Transcription Factor Driven Cancers.txt', 'In Vitro Antibacterial and Phytochemical Screening of Hypericum perforatum Extract as Potential Antimicrobial Agents against Multi-Drug-Resistant (MDR) Strains of Clinical Origin.txt', 'Role of aurora kinase B in regulating resistance to paclitaxel in breast cancer cells.txt',Small Molecule Inhibitor of CBFβ-RUNX Binding for RUNX Transcription Factor Driven Cancers.txt,In Vitro Antibacterial and Phytochemical Screening of Hypericum perforatum Extract as Potential Antimicrobial Agents against Multi-Drug-Resistant (MDR) Strains of Clinical Origin.txt,Role of aurora kinase B in regulating resistance to paclitaxel in breast cancer cells.txt
 'Pharmacological targeting of netrin-1 inhibits EMT in cancer.txt', 'Antibacterial Activity of the Novel Drug Gepotidacin against Stenotrophomonas maltophilia-An In Vitro and In Vivo Study.txt', 'Lin28 induces resistance to anti-androgens via promotion of AR splice variant generation.txt',Pharmacological targeting of netrin-1 inhibits EMT in cancer.txt,Antibacterial Activity of the Novel Drug Gepotidacin against Stenotrophomonas maltophilia-An In Vitro and In Vivo Study.txt,Lin28 induces resistance to anti-androgens via promotion of AR splice variant generation.txt
 'Regorafenib inhibits colorectal tumor growth through PUMA-mediated apoptosis.txt', 'Synergism between vancomycin and gentamicin or tobramycin for methicillin-susceptible and methicillin-resistant Staphylococcus aureus strains.txt', 'P-glycoprotein is fully active after multiple tryptophan substitutions.txt',Regorafenib inhibits colorectal tumor growth through PUMA-mediated apoptosis.txt,Synergism between vancomycin and gentamicin or tobramycin for methicillin-susceptible and methicillin-resistant Staphylococcus aureus strains.txt,P-glycoprotein is fully active after multiple tryptophan substitutions.txt
 'Targeting EZH2 Promotes Chemosensitivity of BCL-2 Inhibitor through Suppressing PI3K and c-KIT Signaling in Acute Myeloid Leukemia.txt', 'Assessing the In Vitro Potential of Glatiramer Acetate (Copaxone®) as a Chemotherapeutic Candidate for the Treatment of Cryptococcus neoformans Infection.txt', 'The E3 ubiquitin ligase EDD is an adverse prognostic factor for serous epithelial ovarian cancer and modulates cisplatin resistance in vitro.txt',Targeting EZH2 Promotes Chemosensitivity of BCL-2 Inhibitor through Suppressing PI3K and c-KIT Signaling in Acute Myeloid Leukemia.txt,Assessing the In Vitro Potential of Glatiramer Acetate (Copaxone®) as a Chemotherapeutic Candidate for the Treatment of Cryptococcus neoformans Infection.txt,The E3 ubiquitin ligase EDD is an adverse prognostic factor for serous epithelial ovarian cancer and modulates cisplatin resistance in vitro.txt
'Phase I and pharmacokinetic study of mitomycin C and celecoxib as potential modulators of tumor resistance to irinotecan in patients with solid malignancies.txt','Clinical,'Mechanism of fusidic acid inhibition of RRF- and EF-G-dependent splitting of the bacterial post-termination ribosome.txt',Phase I and pharmacokinetic study of mitomycin C and celecoxib as potential modulators of tumor resistance to irinotecan in patients with solid malignancies.txt,Topical Fucidin.txt,Mechanism of fusidic acid inhibition of RRF- and EF-G-dependent splitting of the bacterial post-termination ribosome.txt
 'AL101, molecular and drug sensitivity pattern of mycobacterial isolates from extra-pulmonary tuberculosis cases in Addis Ababa, 'The importance of the trans-enamine intermediate as a β-lactamase inhibition strategy probed in inhibitor-resistant SHV β-lactamase variants.txt',CCA-1.txt,"Clinical, molecular and drug sensitivity pattern of mycobacterial isolates from extra-pulmonary tuberculosis cases in Addis Ababa, Ethiopia.txt",The importance of the trans-enamine intermediate as a β-lactamase inhibition strategy probed in inhibitor-resistant SHV β-lactamase variants.txt
 a gamma-secretase inhibitor, Ethiopia.txt', 'Quinolone resistance due to reduced target enzyme expression.txt',Gamma-secretase inhibitors  Notch so bad.txt,Trimethoprim.txt,Quinolone resistance due to reduced target enzyme expression.txt
 has potent antitumor activity against adenoid cystic carcinoma with activated NOTCH signaling.txt', 'Long-term outcomes of antiretroviral therapy in an adult HIV program  a 10-year retrospective cohort study in Kano, 'Opposing effects of cancer-type-specific SPOP mutants on BET protein degradation and sensitivity to BET inhibitors.txt',"AL101, a gamma-secretase inhibitor, has potent antitumor activity against adenoid cystic carcinoma with activated NOTCH signaling.txt","Long-term outcomes of antiretroviral therapy in an adult HIV program  a 10-year retrospective cohort study in Kano, Nigeria.txt",Opposing effects of cancer-type-specific SPOP mutants on BET protein degradation and sensitivity to BET inhibitors.txt
 'Targeting RAF kinases for cancer therapy  BRAF-mutated melanoma and beyond.txt', Nigeria.txt', 'Low expression of phosphatase and tensin homolog in clear‑cell renal cell carcinoma contributes to chemoresistance through activating the Akt HDM2 signaling pathway.txt',Targeting RAF kinases for cancer therapy  BRAF-mutated melanoma and beyond.txt,Malaria.txt,Low expression of phosphatase and tensin homolog in clear‑cell renal cell carcinoma contributes to chemoresistance through activating the Akt HDM2 signaling pathway.txt
 'Repurposing clinically available drugs and therapies for pathogenic targets to combat SARS-CoV-2.txt', 'Effect of NZ2114 against Streptococcus dysgalactiae biofilms and its application in murine mastitis model.txt', 'UNC13B Promote Arsenic Trioxide Resistance in Chronic Lymphoid Leukemia Through Mitochondria Quality Control.txt',Repurposing clinically available drugs and therapies for pathogenic targets to combat SARS-CoV-2.txt,Effect of NZ2114 against Streptococcus dysgalactiae biofilms and its application in murine mastitis model.txt,UNC13B Promote Arsenic Trioxide Resistance in Chronic Lymphoid Leukemia Through Mitochondria Quality Control.txt
'Small molecule agents for triple negative breast cancer  Current status and future prospects.txt','Sulphadimidine,'The Essential Role of PRAK in Preserving Cardiac Function and Insulin Resistance in High-Fat Diet-Induced Diabetes.txt',Small molecule agents for triple negative breast cancer  Current status and future prospects.txt,Sulphonamides.txt,The Essential Role of PRAK in Preserving Cardiac Function and Insulin Resistance in High-Fat Diet-Induced Diabetes.txt
 'Mangostin Nanoparticles Cytotoxicity and Cell Death Modalities in Breast Cancer Cell Lines.txt', co-trimoxazole, 'Hippo pathway in non-small cell lung cancer  mechanisms,Mangostin Nanoparticles Cytotoxicity and Cell Death Modalities in Breast Cancer Cell Lines.txt,Letter  Co-trimoxazole resistance.txt,"Hippo pathway in non-small cell lung cancer  mechanisms, potential targets, and biomarkers.txt"
 'Cancer-associated fibroblasts treated with cisplatin facilitates chemoresistance of lung adenocarcinoma through IL-11 IL-11R STAT3 signaling pathway.txt', and a placebo in the management of symptomatic urinary tract infection in general practice.txt', potential targets,Cancer-associated fibroblasts treated with cisplatin facilitates chemoresistance of lung adenocarcinoma through IL-11 IL-11R STAT3 signaling pathway.txt,"Sulphadimidine, co-trimoxazole, and a placebo in the management of symptomatic urinary tract infection in general practice.txt",The propagation potential.txt
 'Lipid metabolism as a target for cancer drug resistance  progress and prospects.txt', 'Worldwide experience with the use of doripenem against extended-spectrum-beta-lactamase-producing and ciprofloxacin-resistant Enterobacteriaceae  analysis of six phase 3 clinical studies.txt', and biomarkers.txt',Lipid metabolism as a target for cancer drug resistance  progress and prospects.txt,Worldwide experience with the use of doripenem against extended-spectrum-beta-lactamase-producing and ciprofloxacin-resistant Enterobacteriaceae  analysis of six phase 3 clinical studies.txt,Epilepsy biomarkers.txt
 'Targeting Glutaminolysis Shows Efficacy in Both Prednisolone-Sensitive and in Metabolically Rewired Prednisolone-Resistant B-Cell Childhood Acute Lymphoblastic Leukaemia Cells.txt', 'Impact of Prophylactic Levofloxacin on Rates of Bloodstream Infection and Fever in Neutropenic Patients with Multiple Myeloma Undergoing Autologous Hematopoietic Stem Cell Transplantation.txt', 'Role of the rapA gene in controlling antibiotic resistance of Escherichia coli biofilms.txt',Targeting Glutaminolysis Shows Efficacy in Both Prednisolone-Sensitive and in Metabolically Rewired Prednisolone-Resistant B-Cell Childhood Acute Lymphoblastic Leukaemia Cells.txt,Impact of Prophylactic Levofloxacin on Rates of Bloodstream Infection and Fever in Neutropenic Patients with Multiple Myeloma Undergoing Autologous Hematopoietic Stem Cell Transplantation.txt,Role of the rapA gene in controlling antibiotic resistance of Escherichia coli biofilms.txt
 'Drug repurposing  insights into the antimicrobial effects of AKBA against MRSA.txt', 'Fixed-Dose Artesunate-Amodiaquine Combination vs Chloroquine for Treatment of Uncomplicated Blood Stage P.txt', 'TACI Contributes to Plasmodium yoelii Host Resistance by Controlling T Follicular Helper Cell Response and Germinal Center Formation.txt',Drug repurposing  insights into the antimicrobial effects of AKBA against MRSA.txt,Fixed-Dose Artesunate-Amodiaquine Combination vs Chloroquine for Treatment of Uncomplicated Blood Stage P.txt,TACI Contributes to Plasmodium yoelii Host Resistance by Controlling T Follicular Helper Cell Response and Germinal Center Formation.txt
 'The potential role of insulin resistance in predicting outcome from intravenous thrombolytic therapy.txt', 'Cisplatin Resistance  Genetic and Epigenetic Factors Involved.txt', 'CD248 as a bridge between angiogenesis and immunosuppression  a promising prognostic and therapeutic target for renal cell carcinoma.txt',The potential role of insulin resistance in predicting outcome from intravenous thrombolytic therapy.txt,Cisplatin Resistance  Genetic and Epigenetic Factors Involved.txt,CD248 as a bridge between angiogenesis and immunosuppression  a promising prognostic and therapeutic target for renal cell carcinoma.txt
'Effect of phosphodiesterase inhibition on insulin resistance in obese individuals.txt','Effect of phosphodiesterase inhibition on insulin resistance in obese individuals.txt','PERK in POMC neurons connects celastrol with metabolism.txt',Effect of phosphodiesterase inhibition on insulin resistance in obese individuals.txt,Effect of phosphodiesterase inhibition on insulin resistance in obese individuals.txt,PERK in POMC neurons connects celastrol with metabolism.txt
 'PERK in POMC neurons connects celastrol with metabolism.txt', 'Involvement of insulin resistance in D-galactose-induced age-related dementia in rats  Protective role of metformin and saxagliptin.txt', 'Molecular Pathways  Clinical Applications and Future Direction of Insulin-like Growth Factor-1 Receptor Pathway Blockade.txt',PERK in POMC neurons connects celastrol with metabolism.txt,Involvement of insulin resistance in D-galactose-induced age-related dementia in rats  Protective role of metformin and saxagliptin.txt,Molecular Pathways  Clinical Applications and Future Direction of Insulin-like Growth Factor-1 Receptor Pathway Blockade.txt
 'Involvement of insulin resistance in D-galactose-induced age-related dementia in rats  Protective role of metformin and saxagliptin.txt', 'Elemene enhances susceptibility to cisplatin in resistant ovarian carcinoma cells via downregulation of ERCC-1 and XIAP and inactivation of JNK.txt', 'Unique anti-human immunodeficiency virus activities of the nonnucleoside reverse transcriptase inhibitors calanolide A,Involvement of insulin resistance in D-galactose-induced age-related dementia in rats  Protective role of metformin and saxagliptin.txt,Elemene enhances susceptibility to cisplatin in resistant ovarian carcinoma cells via downregulation of ERCC-1 and XIAP and inactivation of JNK.txt,"Unique anti-human immunodeficiency virus activities of the nonnucleoside reverse transcriptase inhibitors calanolide A, costatolide, and dihydrocostatolide.txt"
